rule(position [ {registrar}; type [ {transcript}; acts={read}; departments = departments)
rule(position [ {csChair}; type [ {transcript}; acts={read}; departments = departments)
rule(position [ {admissions}; type [ {application}; acts={read,setStatus}; student = student)
rule(position [ {faculty}, crsTaught ] crs; type [ {gradebook}; acts={readScore,addScore,changeScore,assignGrade}; departments = departments, crs = crs)
rule(position [ {student}, crsTaken ] crs; type [ {gradebook}; acts={readScore,readMyScores}; departments = departments, crs = crs)
rule(position [ {faculty}; type [ {roster}; acts={read,write}; departments = departments, crs = crs)
rule(position [ {staff}; type [ {roster}; acts={read,write}; departments = departments, crs = crs, department = registrar)
rule(position [ {student}; type [ {application}; acts={checkStatus}; student = uid)
rule(position [ {applicant}; type [ {application}; acts={checkStatus}; student = uid)
rule(position [ {student}; type [ {transcript}; acts={read}; departments = departments, student = student)
rule(position [ {faculty}, isChair [ {True}; type [ {transcript}; acts={read}; departments = departments)
